# trial, step, v, x_car, y_car, x_ped, y_ped, del_x, del_y, reward, v_new, x_car_new, y_car_new, x_ped_new, y_ped_new
0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-5.000000000000000000e+00,2.000000000000000000e+00,-1.641582107322725470e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+00,5.200000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+00,5.200000000000000000e+01,-4.978467138263413361e+00,-2.000000000000000000e+00,-1.637568160671233564e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,-3.478467138263413361e+00,5.000000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,-3.478467138263413361e+00,5.000000000000000000e+01,-5.000000000000000000e+00,-1.580511526994254901e+00,-1.173939315994352000e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,-8.478467138263413361e+00,4.841948847300574243e+01
1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-3.103976942076733803e+00,2.000000000000000000e+00,-1.223778636641805084e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,3.396023057923266197e+00,5.200000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,3.396023057923266197e+00,5.200000000000000000e+01,-3.021620215701226186e-01,-5.987222740015916145e-01,-5.759165502045575646e-01,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,3.093861036353143579e+00,5.140127772599841194e+01
1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,3.093861036353143579e+00,5.140127772599841194e+01,-5.000000000000000000e+00,2.000000000000000000e+00,-1.091968338068576122e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,-1.906138963646856421e+00,5.340127772599841194e+01
2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-5.000000000000000000e+00,-6.976270488728864017e-02,-1.609478467542017732e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+00,4.993023729511271114e+01
2.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+00,4.993023729511271114e+01,-1.223520605727745902e-02,1.239334982978096633e+00,-7.973711155590308408e-01,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,1.487764793942722541e+00,5.116957227809081132e+01
2.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,1.487764793942722541e+00,5.116957227809081132e+01,-4.267790378294586517e+00,-3.124911278656672398e-01,-1.116872467930811763e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,-2.780025584351863976e+00,5.085708115022514164e+01
3.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,9.186493858805366841e-01,2.000000000000000000e+00,-1.175363068453286974e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.418649385880536684e+00,5.200000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.418649385880536684e+00,5.200000000000000000e+01,-5.000000000000000000e+00,2.000000000000000000e+00,-1.641582107322725470e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,2.418649385880536684e+00,5.400000000000000000e+01
3.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,2.418649385880536684e+00,5.400000000000000000e+01,5.000000000000000000e+00,-1.355367842104431730e+00,-1.079132768389817284e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,7.418649385880536684e+00,5.264463215789557182e+01
4.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-5.000000000000000000e+00,-1.988420746358912750e+00,-1.641223900849865247e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+00,4.801157925364108792e+01
4.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+00,4.801157925364108792e+01,-9.751519422892807043e-01,2.000000000000000000e+00,-7.677758096273208377e-01,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,5.248480577107192957e-01,5.001157925364108792e+01
4.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,5.248480577107192957e-01,5.001157925364108792e+01,5.000000000000000000e+00,4.607856886552381681e-01,-1.095825958557260310e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,5.524848057710719296e+00,5.047236494229632342e+01
5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-7.857625989924645893e-01,8.551394766114679413e-01,-4.306086328507344740e-01,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,5.714237401007535411e+00,5.085513947661146972e+01
5.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,5.714237401007535411e+00,5.085513947661146972e+01,-2.277527957315267138e+00,7.637408323206962280e-01,-8.550469379816698634e-01,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,3.436709443692268273e+00,5.161888030893216239e+01
5.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,3.436709443692268273e+00,5.161888030893216239e+01,-1.190727459006847511e+00,-2.000000000000000000e+00,-1.106230053776527348e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,2.245981984685420763e+00,4.961888030893216239e+01
6.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-5.000000000000000000e+00,1.369730564216699698e+00,-1.624804065614696258e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+00,5.136973056421670236e+01
6.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+00,5.136973056421670236e+01,-3.451600285274052382e+00,2.000000000000000000e+00,-1.311010854427564709e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,-1.951600285274052382e+00,5.336973056421670236e+01
6.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,-1.951600285274052382e+00,5.336973056421670236e+01,5.000000000000000000e+00,2.000000000000000000e+00,-1.048524775564814991e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,3.048399714725947618e+00,5.536973056421670236e+01
