AveragePolicyStd,ExplainedVariance,LossAfter,Iteration,AverageDiscountedReturn,StdReturn,LossBefore,Perplexity,MaxReturn,dLoss,NumTrajs,AverageReturn,MeanKLBefore,MinReturn,Entropy,MeanKL
1.0,7.77156117238e-16,-0.0684147148373,0,-9385.41413558,3570.56018826,-1.72359211694e-16,17.0794684453,-1.13640214004,0.0684147148373,1334,-9575.93322239,0.0,-12131.4796933,2.83787706641,0.0729431560921
0.955635633412,0.00645121225585,-0.0197033083314,1,-8931.81772042,3956.03252367,1.65895394484e-17,15.571971175,-0.943177917546,0.0197033083314,1334,-9113.12907527,0.0,-12120.6265668,2.74547257867,0.0833767993665
0.921794715105,0.0142665931904,-0.0838229271825,2,-8635.25564625,4320.81207918,3.65913085827e-17,14.3578653671,-1.29318391528,0.0838229271825,1334,-8810.54572438,0.0,-12044.3563616,2.66429790125,0.0863545630567
0.883715065317,0.00255210053109,-0.0513457100709,3,-7946.47687307,4679.78954741,8.76499161995e-17,13.1159478093,-0.859284383255,0.0513457100709,1334,-8107.78322734,0.0,-11917.3293668,2.57382887981,0.0877687750794
0.797190814705,-0.00175833339149,-0.04708709884,4,-7452.11683959,4906.58636539,-6.94374870224e-17,10.2501994947,-0.73569320899,0.04708709884,1334,-7603.38906042,0.0,-11604.4400676,2.32729716829,0.07542543935
0.744601529222,0.00259065119125,-0.0293449443452,5,-6693.59124972,5154.04728557,3.75067848399e-17,8.48273070169,-0.803504111448,0.0293449443452,1334,-6829.46427528,0.0,-11475.735062,2.13803241468,0.0636377569733
0.720740624533,0.00266171511304,-0.0218935509156,6,-6333.69108648,5247.25960521,1.14573240672e-17,7.69128940662,-0.632814133582,0.0218935509156,1334,-6462.25752093,0.0,-11413.2744023,2.04008844263,0.0999598611785
0.675180201006,0.000650631947071,-0.0377648355816,7,-5843.82768935,5334.22428552,-2.70204204394e-17,6.27666645706,-0.678177600115,0.0377648355816,1334,-5962.450524,0.0,-11487.4424137,1.83683902061,0.0954563787147
0.62511428628,1.83094797518e-05,-0.0671117035816,8,-5500.49909633,5365.48483182,4.64950971832e-17,4.8731741044,-0.678953948356,0.0671117035816,1334,-5612.15376373,0.0,-11445.0010016,1.5837454916,0.0819490893268
0.602580062504,3.29133483685e-05,-0.0711120825801,9,-4735.27404793,5327.31549254,-2.33030320011e-18,4.22929107885,-0.415925756233,0.0711120825801,1334,-4831.39243421,0.0,-11426.8133754,1.44203438536,0.080279322849
