"Drive","x","y","v","d","theta","crash","r"
0,0,0,0,0,0,0,0.0
1,5,-99,4,0,0,0,-3.0239031505206873
1,6,-79,4,0,0,0,-7.300569269536743
1,6,-55,4,0,0,0,-10.478623099884688
1,9,-35,4,0,0,0,-12.80937906984543
1,9,-15,4,0,0,0,-17.77919236942143
1,4,-1,3,0,0,1,-17.77919236942143
1,0,7,2,0,0,1,0.0
