# trial, step, v, x_car, y_car, x_ped, y_ped, del_x, del_y, reward, v_new, x_car_new, y_car_new, x_ped_new, y_ped_new
7.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-1.826256259315979236e-01,2.000000000000000000e+00,-8.815835611653096704e-01,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.317374374068402076e+00,5.200000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.317374374068402076e+00,5.200000000000000000e+01,-1.178966482964592277e+00,2.000000000000000000e+00,-7.740297813402089444e-01,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,5.138407891103810243e+00,5.400000000000000000e+01
7.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,5.138407891103810243e+00,5.400000000000000000e+01,-4.946660656151138369e-01,-2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,4.643741825488696406e+00,5.200000000000000000e+01
8.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,1.934788375343956091e+00,-1.002442756175413230e+00,-1.384119963443091850e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,8.434788375343956091e+00,4.899755724382458766e+01
8.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,8.434788375343956091e+00,4.899755724382458766e+01,-5.000000000000000000e+00,2.000000000000000000e+00,-1.641582107322725470e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,3.434788375343956091e+00,5.099755724382458766e+01
8.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,3.434788375343956091e+00,5.099755724382458766e+01,8.249840235570990998e-01,-2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,4.259772398901055190e+00,4.899755724382458766e+01
9.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,4.207984181980837235e-01,-2.000000000000000000e+00,-1.040576031655428668e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.920798418198083723e+00,4.800000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.920798418198083723e+00,4.800000000000000000e+01,-5.356487776522529387e-01,1.271645633121527563e+00,-6.252460531848139658e-01,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,6.385149640545830785e+00,4.927164563312152978e+01
9.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,6.385149640545830785e+00,4.927164563312152978e+01,-2.180747087950237528e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,4.204402552595593257e+00,5.127164563312152978e+01
1.100000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-1.325494637058071135e-01,1.786640738115128357e+00,-8.534682857207159801e-01,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.367450536294192887e+00,5.178664073811512480e+01
