Perplexity,LossAfter,MeanKLBefore,Iteration,MaxReturn,LossBefore,dLoss,MinReturn,AverageReturn,Entropy,ExplainedVariance,AverageDiscountedReturn,MeanKL,NumTrajs,AveragePolicyStd,StdReturn
17.0794684453,-0.0500451911403,0.0,0,-1.07011988821,-1.28083450892e-16,0.0500451911403,-12120.2675725,-9730.19367931,2.83787706641,6.66133814775e-16,-9536.60530905,0.0476239515471,1334,1.0,3651.80677032
16.2935983983,-0.036778703833,0.0,1,-0.644700832936,-2.21933638106e-19,0.036778703833,-12020.6890778,-9187.10439071,2.79077229437,0.0225571541117,-9004.32322239,0.0506775711395,1334,0.976842874055,4078.21936628
14.853176885,-0.0138703808491,0.0,2,-0.511469954293,9.29347109569e-17,0.0138703808491,-12140.2449457,-8860.76112125,2.69821377402,0.0127715657709,-8684.47279839,0.0387167203856,1334,0.934272329722,4385.75876108
13.4554850123,-0.0360924422595,0.0,3,-0.891479902555,2.07369243105e-17,0.0360924422595,-11999.3155853,-8661.25852969,2.59938683052,0.00858218921753,-8488.93879909,0.0740904396092,1334,0.895787067628,4538.51913413
11.7457408344,-0.0337941248266,0.0,4,-1.05460317026,-3.65080834684e-17,0.0337941248266,-11941.3055636,-7879.08078038,2.4634906927,0.000340894651023,-7722.32553182,0.0715502914553,1334,0.845213911778,4947.27419741
9.95609892442,-0.0435886777965,0.0,5,-0.534433548463,3.17642519539e-17,0.0435886777965,-11759.8020573,-7358.9767134,2.29818532062,-0.000869359336724,-7212.56925396,0.0569755765546,1334,0.794013061474,5163.69105002
8.96119479882,-0.0552192557027,0.0,6,-0.831967736799,-3.80061355256e-17,0.0552192557027,-11636.5378526,-7154.02122106,2.19290356618,-0.00124104510813,-7011.69083772,0.072684106911,1334,0.763163723692,5208.08812416
7.2760312663,-0.0619917221549,0.0,7,-0.583619799094,-1.60347053532e-17,0.0619917221549,-11406.3350566,-6317.24214053,1.98458555783,0.00179161748534,-6191.56083408,0.0723121337477,1334,0.709889781423,5423.341879
6.09788858727,-0.0639855285394,0.0,8,-0.518636698106,-3.39003632207e-17,0.0639855285394,-11598.0933137,-5787.19985214,1.80794257803,0.0100365009904,-5672.065137,0.0624335637792,1334,0.678770601591,5466.23119679
5.387858878,-0.070062029363,0.0,9,-0.725080248764,5.49285754312e-18,0.070062029363,-11448.6759161,-4849.21166684,1.6841480663,0.0046898866184,-4752.74375869,0.072978798565,1334,0.666564825476,5428.2347298
4.18037621684,-0.0731814143379,0.0,10,-0.824136645579,-1.62732840141e-16,0.0731814143379,-11364.390124,-3507.94030153,1.43040124652,0.00895019406015,-3438.16359261,0.0807763983508,1334,0.614046458083,5093.07896445
3.444738052,-0.0606621539909,0.0,11,-0.635610025075,2.1444337782e-17,0.0606621539909,-11359.7019747,-2835.98727243,1.23684786442,0.00874894787771,-2779.58262751,0.0599446638594,1334,0.59401624106,4780.49007289
2.94467570314,-0.0595942694054,0.0,12,-0.5538138463,2.6534940606e-17,0.0595942694054,-11293.4431202,-2049.1444896,1.07999869326,0.0102968763059,-2008.3986292,0.0546289238879,1334,0.579434603797,4263.1747183
2.61844950089,-0.0668885713606,0.0,13,-1.28814319762,-2.45375378631e-17,0.0668885713606,-11314.6756588,-1417.093254,0.96258234904,0.00163851244578,-1388.92534397,0.0756484498469,1334,0.575640768513,3665.8884108
2.1576296339,-0.0356488361352,0.0,14,-1.30022495798,-4.97686183453e-17,0.0356488361352,-11256.1553595,-905.977415944,0.769010227408,0.0147976695197,-887.980902896,0.0966296710996,1334,0.56611980171,3000.49075817
1.88051417271,-0.0784803064083,0.0,15,-1.48396570195,1.28499576463e-16,0.0784803064083,-11218.7303761,-630.162373485,0.631545235573,0.00947105456657,-617.655523282,0.0830026687894,1334,0.547863932644,2537.27254976
1.59585457752,-0.0249386755615,0.0,16,-1.63897033636,1.82061872935e-16,0.0249386755615,-11143.4880889,-196.573260875,0.467409378033,-0.00824706494001,-192.695619993,0.0565586282253,1334,0.530834965565,1435.08929707
1.3884228454,-0.00976132771547,0.0,17,-1.71283212222,1.29123764821e-16,0.00976132771547,-11082.3833286,-91.8631518809,0.32816845935,0.000210044451288,-90.0689325625,0.0748886275936,1334,0.522291500815,982.099380527
1.29372302232,-0.0137764849662,0.0,18,-1.72267235272,-2.71563547927e-16,0.0137764849662,-11205.9246091,-51.4910808053,0.257524125502,-0.00444311032437,-50.4997171444,0.0509197385362,1334,0.527465874007,732.020085548
1.21527802736,-0.0285346303187,0.0,19,-1.69620682778,-2.54283933573e-16,0.0285346303187,-11146.3563597,-114.925211523,0.194972879716,-0.00148102417397,-112.670865738,0.0803294177454,1334,0.521806762673,1094.28596083
1.11676397794,-0.0228338072642,0.0,20,-1.77990986507,-1.3714458521e-16,0.0228338072642,-11075.6349812,-42.4828385021,0.110435197794,0.00216491603753,-41.6711692859,0.0759676510637,1334,0.517431260334,655.458956712
1.03325338882,-0.00956685355538,0.0,21,-1.74987166121,-3.48192204981e-16,0.00956685355538,-10634.6469686,-10.2560520704,0.032712454175,-0.00942770503338,-10.0860687725,0.0876558453236,1334,0.509584342966,290.99733738
0.957450474047,-0.00922816617597,0.0,22,-1.79291859884,-9.24686503169e-16,0.00922816617597,-10557.0228122,-18.0835990861,-0.0434812834985,0.000201327797974,-17.7575028453,0.0512662981007,1334,0.50352792561,408.354706656
0.900517225074,-0.0233626440979,0.0,23,-1.75052127228,4.33341033111e-16,0.0233626440979,-11182.2412315,-27.3244465911,-0.104785986205,-0.0009473188057,-26.8137957052,0.0912399215179,1334,0.499794367548,528.786076099
