"DriveNum","x","y","v","xped","yped","crash","rt","Rtotal"
6,9,-2,1,0,-4,0,42.677049031470865,1667.5003507494216
6,9,-1,1,-3,-3,0,47.64686233104687,1667.5003507494216
6,6,1,1,-1,2,0,52.61667563062287,1667.5003507494216
6,5,10,2,4,0,0,56.20019456907898,1667.5003507494216
6,9,22,3,0,1,0,1667.5003507494216,1667.5003507494216
7,5,-99,4,-4,4,0,4.969813299576001,1942.7345073419851
7,1,-77,3,4,3,0,9.939626599152001,1942.7345073419851
7,5,-61,2,2,5,0,14.909439898728003,1942.7345073419851
7,7,-46,2,2,0,0,17.79981165662417,1942.7345073419851
7,9,-36,2,0,-4,0,20.823714807144857,1942.7345073419851
7,9,-30,2,0,-4,0,23.847617957665545,1942.7345073419851
7,9,-24,2,0,0,0,26.178373927626286,1942.7345073419851
7,9,-14,2,0,5,0,29.202277078146974,1942.7345073419851
7,9,1,2,0,2,0,32.22618022866766,1942.7345073419851
7,9,15,3,-4,-1,0,1942.7345073419851,1942.7345073419851
8,5,-99,4,1,0,0,3.0239031505206873,5117.625041689595
8,6,-79,4,-1,0,0,7.300569269536743,5117.625041689595
8,5,-61,3,-5,-1,0,12.270382569112744,5117.625041689595
8,0,-49,2,0,0,0,14.601138539073485,5117.625041689595
8,0,-41,1,0,-1,0,5117.625041689595,5117.625041689595
9,5,-99,4,-5,4,0,4.969813299576001,6422.195393279702
9,0,-77,3,3,1,0,9.939626599152001,6422.195393279702
9,3,-63,2,-1,1,0,14.909439898728003,6422.195393279702
9,2,-54,1,-2,-5,0,6422.195393279702,6422.195393279702
10,5,-99,4,-4,0,0,3.0239031505206873,3973.931016918525
10,1,-81,3,5,-1,0,7.993716450096688,3973.931016918525
10,6,-67,3,-3,-3,0,12.963529749672688,3973.931016918525
10,3,-57,2,4,4,0,17.933343049248688,3973.931016918525
10,7,-43,2,-3,1,0,22.903156348824687,3973.931016918525
10,4,-34,1,5,1,0,27.872969648400687,3973.931016918525
10,9,-28,1,-5,4,0,3973.931016918525,3973.931016918525
11,5,-99,4,-1,0,0,3.0239031505206873,1675.3524312685977
11,4,-81,3,2,5,0,7.993716450096688,1675.3524312685977
11,6,-61,3,1,0,0,12.270382569112744,1675.3524312685977
11,7,-46,3,2,0,0,15.16075432700891,1675.3524312685977
11,9,-31,3,-5,-5,0,20.13056762658491,1675.3524312685977
11,4,-23,2,4,5,0,25.10038092616091,1675.3524312685977
11,8,-8,2,-4,-5,0,30.07019422573691,1675.3524312685977
11,4,-5,1,1,4,0,1675.3524312685977,1675.3524312685977
12,5,-99,4,0,0,0,2.330755969960742,1851.570052067908
12,5,-81,3,-2,-5,0,7.300569269536743,1851.570052067908
12,3,-73,2,4,0,0,11.577235388552797,1851.570052067908
12,7,-63,2,1,-5,0,16.547048688128797,1851.570052067908
12,8,-58,2,0,3,0,20.823714807144853,1851.570052067908
12,8,-45,2,0,4,0,25.10038092616091,1851.570052067908
12,8,-31,2,1,-4,0,28.46075631330281,1851.570052067908
