Iteration,MinReturn,NumTrajs,MaxReturn,Perplexity,Entropy,dLoss,StdReturn,LossBefore,LossAfter,AverageReturn,AverageDiscountedReturn,MeanKL,AveragePolicyStd,ExplainedVariance,MeanKLBefore
0,-11988.1107973,1334,-0.938894924851,17.0794684453,2.83787706641,0.0489719221015,3654.8859003,2.83769898023e-16,-0.0489719221015,-9738.54233094,-9544.78552116,0.0690123448838,1.0,6.66133814775e-16,0.0
1,-12338.4465389,1334,-1.19974391586,16.5309669114,2.80523540446,0.0153377950781,3926.17356302,2.52172096298e-17,-0.0153377950781,-9525.51380582,-9335.99666152,0.05157653701,0.984087293423,0.0115837819937,0.0
2,-12283.9170405,1334,-0.975286016652,15.3382543425,2.73034999171,0.0861175280416,4243.51371203,7.42784145036e-17,-0.0861175280416,-9277.98179392,-9093.39022722,0.0643622678699,0.949472984757,0.0189387424815,0.0
3,-12240.6750859,1334,-1.0337195666,13.5676912164,2.60769132056,0.0187810978107,4663.17149218,-3.54261569827e-17,-0.0187810978107,-8645.6546914,-8473.64551542,0.0643400188613,0.896869792929,0.0093349204866,0.0
4,-12230.5349434,1334,-1.1667756856,12.2726559313,2.50737369261,0.0777475391473,4768.37041866,-1.32605348768e-17,-0.0777475391473,-8407.25580548,-8239.99136201,0.0962357172822,0.863558571959,0.0155079553247,0.0
5,-12194.4859395,1334,-0.723661290791,10.6912836149,2.36942879406,0.023500538599,5113.43667676,-1.97798354962e-17,-0.023500538599,-7578.37600867,-7427.6042055,0.0731641463503,0.814541470591,-0.000638499774737,0.0
6,-11718.699898,1334,-0.865500866408,8.9782745599,2.1948077213,0.0336384641031,5127.07756174,-1.38708523816e-18,-0.0336384641031,-7507.65785945,-7358.29036752,0.0689325668918,0.764085596985,-0.00107293662836,0.0
7,-11643.9665769,1334,-0.616837041465,7.56323148473,2.02329854393,0.0192488412324,5325.51429673,-1.66450228579e-17,-0.0192488412324,-6864.85064492,-6728.27174271,0.0556482614462,0.716398011281,-0.00206227250713,0.0
8,-11632.1098894,1334,-0.412744598946,6.34199951649,1.84719409988,0.0529770779965,5428.73913529,7.0186513051e-18,-0.0529770779965,-6341.75617024,-6215.58457227,0.0616181806159,0.677336750837,0.00258257760974,0.0
9,-11620.2386477,1334,-0.433145796021,5.19460549421,1.64762068215,0.0680241247609,5477.19064794,1.91972596962e-17,-0.0680241247609,-5484.85558454,-5375.73414324,0.0818203179719,0.639456411634,-0.000505118508175,0.0
10,-11611.1830061,1334,-0.516560331253,3.955365501,1.37507301187,0.0852815200024,5414.67323287,-2.42185082583e-17,-0.0852815200024,-4619.61519915,-4527.70979397,0.0812875315527,0.587962183646,-0.000114366110265,0.0
11,-11605.411208,1334,-0.475120129294,3.11656617793,1.13673181174,0.0752906288754,5096.74618587,-5.40963242883e-17,-0.0752906288754,-3461.28442311,-3392.42811864,0.0806450338181,0.560233744836,-0.00198343570728,0.0
12,-11588.5786463,1334,-0.323662254162,2.47986066386,0.908202374671,0.0733907927037,4232.97061727,-7.19619821559e-17,-0.0733907927037,-2003.71446005,-1963.86217694,0.0795136235621,0.543512593105,-0.00178680219214,0.0
13,-11534.5846083,1334,-0.282397155052,1.94477275211,0.665145133284,0.0738516781037,3368.03436046,9.27543898759e-17,-0.0738516781037,-1163.63764314,-1140.50207062,0.0783405192541,0.527609171388,-0.00106883383638,0.0
14,-11597.0733836,1334,-0.374086870839,1.54602234988,0.435685406644,0.0486924805713,2324.96860884,-1.50547296324e-16,-0.0486924805713,-518.889823622,-508.583944778,0.05675683393,0.516510803425,-0.0030305690393,0.0
15,-11438.4149316,1334,-0.29739384865,1.27898405609,0.246066056602,0.0403618360394,1272.42158591,-1.52787438984e-17,-0.0403618360394,-150.170821771,-147.201972239,0.0953008367452,0.507392340133,-0.00237018845447,0.0
16,-11539.0981369,1334,-0.344674380165,1.08290395028,0.0796462755144,0.0286540059035,888.807501218,1.28085184748e-16,-0.0286540059035,-74.5730157523,-73.1080726432,0.0912030825547,0.498163743894,-0.000385262603675,0.0
17,-1.97429395684,1334,-0.474646274761,0.878500585653,-0.129538704705,0.0050327208592,0.263165334503,4.89363672024e-17,-0.0050327208592,-1.33405057677,-1.32654827127,0.0844129129293,0.491915029983,-1995.54364479,0.0
18,-11206.0864657,1334,-0.485169642916,0.872211302927,-0.136723564557,0.0105321878079,306.663490759,7.91271443392e-17,-0.0105321878079,-9.72313546736,-9.54875074899,0.0467826077081,0.49236855786,3.57999801603e-06,0.0
19,-1.9780604932,1334,-0.364786769052,0.848297470167,-0.164523914411,0.0139000259044,0.276718838303,3.51986750036e-16,-0.0139000259044,-1.29324704613,-1.28635683078,0.07411362308,0.485240351661,-2062.52080552,0.0
20,-1.93825419286,1334,-0.21658622929,0.822543053651,-0.195354452848,0.213907236349,0.282549650236,-1.94097611547e-15,-0.213907236349,-1.24351275837,-1.23675121961,0.0703343419741,0.452705764595,0.87140491451,0.0
21,-1.94840344585,1334,-0.190294784083,0.658280180843,-0.418124631534,0.203411262942,0.274843281625,-1.16022744746e-15,-0.203411262942,-1.11704000937,-1.11095655539,0.0710792695475,0.381921144797,0.841798056953,0.0
22,-1.65919103809,1334,-0.23480551498,0.520928377957,-0.652142717011,0.208095394171,0.276147735013,1.54202265927e-15,-0.208095394171,-0.993408001843,-0.987956824655,0.0715549143566,0.317899060799,0.804738394411,0.0
23,-1.62019804201,1334,-0.133918712117,0.404225894818,-0.905781411696,0.207561425514,0.262673734378,-7.77267084057e-16,-0.207561425514,-0.873292800171,-0.868522216724,0.0723280688793,0.26391519965,0.777355907115,0.0
24,-1.56230423821,1334,-0.170262788242,0.307363641909,-1.17972373103,0.209796993331,0.231494071002,-7.5224406636e-16,-0.209796993331,-0.754550715974,-0.750525696138,0.074423945657,0.217237178705,0.759246598051,0.0
