# trial, step, v, x_car, y_car, x_ped, y_ped, del_x, del_y, reward, v_new, x_car_new, y_car_new, x_ped_new, y_ped_new
7.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,2.214580006828494430e+00,5.004825385321633746e+01,3.974871341675454417e+00,2.000000000000000000e+00,-1.081292381341581131e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,6.189451348503949291e+00,5.204825385321633746e+01
8.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-3.178238851384564967e-01,2.000000000000000000e+00,-1.230062449435520566e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.182176114861543503e+00,5.200000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.182176114861543503e+00,5.200000000000000000e+01,-2.327609466265805338e-01,1.356085857328677591e+00,-1.096955691074047667e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,5.949415168234962970e+00,5.335608585732867937e+01
8.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,5.949415168234962970e+00,5.335608585732867937e+01,-1.485655064442621409e+00,-8.127670880067539017e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,4.463760103792341560e+00,5.254331876932192813e+01
9.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,2.753610613119477080e+00,-1.906453695488290467e-01,-1.777549825204939538e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,9.253610613119477080e+00,4.980935463045116762e+01
9.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,9.253610613119477080e+00,4.980935463045116762e+01,1.130922649175984951e+00,2.000000000000000000e+00,-1.534104257647306291e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,1.038453326229546292e+01,5.180935463045116762e+01
9.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,1.038453326229546292e+01,5.180935463045116762e+01,-5.000000000000000000e+00,-1.903830980523430583e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,5.384533262295462919e+00,4.990552364992773704e+01
1.000000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-6.049827420316766791e-02,8.546076434792171383e-01,-1.053971013614468433e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.439501725796832332e+00,5.085460764347921980e+01
1.000000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.439501725796832332e+00,5.085460764347921980e+01,-2.158967918443108758e-01,2.000000000000000000e+00,-1.249813200716834549e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,6.223604933952521456e+00,5.285460764347921980e+01
1.000000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,6.223604933952521456e+00,5.285460764347921980e+01,-1.842899214077543313e+00,-1.555314177108517715e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,4.380705719874978143e+00,5.129929346637069898e+01
